yugene_value	probe_id	sample_id	ds_id	chip_type	x_position
0.548661916269	10547664	GSM754772	6312	31	218
0.547641532905	1420330_at	GSM1338649	6659	11	219
0.544467396671	ILMN_1215209	456	6173	1	220
0.54021441653	10547664	GSM1026813	6313	31	221
0.538510327686	10547664	GSM754802	6312	31	222
0.536860226978	ILMN_1215209	791	6173	1	223
0.534935259055	1420331_at	GSM1263328	6498	11	224
0.534161112523	ILMN_1216972	18-417	6172	1	225
0.531103156163	ILMN_1216972	21-429+457	6172	1	226
0.528773637202	10547664	GSM791103	6311	31	227
0.528547096179	10547664	GSM854324	6311	31	228
0.524133793644	10547664	GSM1144164	6501	31	229
0.523868234411	1420330_at	GSM854066	6659	11	230
0.519128520674	10547664	GSM1026816	6313	31	231
0.5168202691	10547664	GSM791130	6311	31	232
0.516448192327	A_52_P161488	GSM797986	6143	118	233
0.516005182798	1420331_at	GSM1368195	6390	11	234
0.511219511004	ILMN_1215209	15-430	6172	1	235
0.510286018412	10547664	GSM754790	6312	31	236
0.50853315419	A_52_P161488	GSM797992	6143	118	237
0.504947169974	ILMN_1215209	8778571044_B	6124	72	238
0.503102379956	10547664	GSM854235	6311	31	239
0.503005626593	6957083	GSM948878	6592	74	240
0.501058903939	10547664	GSM754787	6312	31	241
0.500508909308	1420330_at	GSM1338652	6659	11	242
0.500497228341	ILMN_1216972	8778571076_D	6125	72	243
0.500396315953	1420330_at	GSM876167	6087	11	244
0.499288623905	ILMN_1215209	8778571093_E	6125	72	245
0.49802309004	1420331_at	2hrPGcontrol2	6140	117	246
0.496922652224	10547664	GSM791118	6311	31	247
0.49606026694	ILMN_1216972	8778571054_C	6125	72	248
0.495447737997	10547664	GSM1026795	6313	31	249
0.492969484829	ILMN_1216972	24-427	6172	1	250
0.492412076933	1420331_at	GSM1139852	6307	11	251
0.492262242318	10547664	GSM605867	6311	31	252
0.491844558218	1420331_at	GSM1368204	6390	11	253
0.491100954275	1420330_at	GSM876161	6087	11	254
0.485453646455	ILMN_1215209	12-411	6172	1	255
0.480846783491	10547664	GSM854319	6311	31	256
0.479763632608	10547664	GSM867295	6086	31	257
0.478000731272	10547664	A749_4_Control_1	6593	31	258
0.475475439448	1420331_at	GSM1197701	6291	11	259
0.474736488318	10547664	GSM791127	6311	31	260
0.474731708541	1420331_at	GSM1338644	6659	11	261
0.474421485159	ILMN_1215209	8778571076_A	6125	72	262
0.474194726223	ILMN_1216972	8778571093_H	6125	72	263
0.474028388758	1420330_at	GSM426744	6308	117	264
0.473805270331	10547664	GSM791124	6311	31	265
0.473436945642	ILMN_2671354	SAMPLE_7	6357	132	266
0.466908259078	1420331_at	GSM1139843	6307	11	267
0.466020196803	ILMN_1215209	8778571054_F	6125	72	268
0.463955623254	1420330_at	GSM876164	6087	11	269
0.463353738655	10547664	GSM754793	6312	31	270
0.461242249429	ILMN_1215209	8709381063_F	6124	72	271
0.460472209075	ILMN_1215209	4936586022_B	4000	1	272
0.460472209075	ILMN_1215209	4936586022_B	4000	1	273
0.458053234169	10547664	GSM791106	6311	31	274
0.454188830265	ILMN_1216972	8778571093_E	6125	72	275
0.451629830976	1420331_at	GSM1338665	6659	11	276
0.445817311689	10547664	GSM754823	6312	31	277
0.444746413583	1420330_at	GSM980894_CB2009254_5_HY53	6193	11	278
0.443759465526	A_52_P161488	GSM797998	6143	118	279
0.442282018497	ILMN_1215209	4936586022_C	4000	1	280
0.440463685566	10547664	GSM754811	6312	31	281
0.438417429958	1420331_at	24hrPGcontrol2	6140	117	282
0.436700902862	ILMN_1215209	D16CL19	6198	72	283
0.434700641886	A_52_P161488	GSM390177	6181	118	284
0.434263827152	1420331_at	GSM1338647	6659	11	285
0.434106031821	10547664	GSM754808	6312	31	286
0.433138785992	1420330_at	GSM1368202	6390	11	287
0.432592807715	10547664	GSM538310	6311	31	288
0.431121928187	ILMN_1215209	4936586023_C	4000	1	289
0.431121928187	ILMN_1215209	4936586023_C	4000	1	290
0.42884677465	10547664	GSM791142	6311	31	291
0.428424095922	10547664	GSM754832	6312	31	292
0.427099127069	ILMN_1216972	8778571076_A	6125	72	293
0.424096601649	ILMN_1215209	4936586024_A	4000	1	294
0.423492601291	10547664	GSM791121	6311	31	295
0.422849641766	ILMN_1215209	4936586023_A	4000	1	296
0.42147626213	ILMN_1216972	793	6173	1	297
0.421325421825	ILMN_1216972	15-430	6172	1	298
0.414039997191	ILMN_1215209	4936586024_E	4000	1	299
0.412801153652	ILMN_1215209	D16CL28	6198	72	300
0.412726806372	ILMN_1215209	4936586024_C	4000	1	301
0.412726806372	ILMN_1215209	4936586024_C	4000	1	302
0.407289978619	ILMN_1215209	4936586001_C	4000	1	303
0.407289978619	ILMN_1215209	4936586001_C	4000	1	304
0.406748875338	ILMN_1216972	790	6173	1	305
0.406598901463	10547664	GSM754799	6312	31	306
0.406393015027	ILMN_1216972	SAMPLE_8	6357	132	307
0.405897404376	1420330_at	GSM98878	6658	11	308
0.405295903046	10547664	GSM538300	6311	31	309
0.405269483991	ILMN_1215209	4936586023_E	4000	1	310
0.405131038366	ILMN_1216972	8778571054_F	6125	72	311
0.403000141903	ILMN_1215209	D16CL7	6198	72	312
0.402257759205	A_52_P161488	252800517304_1_3	6228	131	313
0.399122216174	1420330_at	GSM1338682	6659	11	314
0.394507505095	ILMN_1215209	D30CLONE1	6198	72	315
0.392458544415	ILMN_1215209	D16CL10	6198	72	316
0.385872915603	A_52_P161488	GSM390183	6181	118	317
0.385828078348	ILMN_1215209	4936586022_F	4000	1	318
0.385828078348	ILMN_1215209	4936586022_F	4000	1	319
0.384585331414	ILMN_1215209	GSM1200026	6231	1	320
0.384360078523	ILMN_1215209	D16CL16	6198	72	321
0.38432966894	1420331_at	GSM1338659	6659	11	322
0.382742756037	ILMN_1216972	8709381063_H	6124	72	323
0.381769105853	ILMN_1215209	D16CL22	6198	72	324
0.380379782481	ILMN_1215209	D16CL1	6198	72	325
0.374631882573	A_52_P161488	252800517304_2_2	6228	131	326
0.372067398235	10547664	GSM1144275	6501	31	327
0.372067398235	10547664	GSM1144185	6501	31	328
0.371839164235	1420331_at	GSM854067	6659	11	329
0.37154579157	ILMN_1216972	794	6173	1	330
0.369278887475	ILMN_1215209	BM-3	6275	1	331
0.367492001571	ILMN_1215209	BULKRFP	6275	1	332
0.366402185371	ILMN_1215209	4936586023_B	4000	1	333
0.364181365777	ILMN_1215209	GSM1199975	6231	1	334
0.362733330653	ILMN_1215209	4936586024_D	4000	1	335
0.362152680561	ILMN_1215209	GSM450295	6168	72	336
0.361854129179	10547664	GSM754826	6312	31	337
0.360824688988	10547664	GSM754778	6312	31	338
0.360186010779	1420330_at	GSM1338670	6659	11	339
0.360057068401	ILMN_1215209	GSM1199999	6231	1	340
0.359798048418	10547664	GSM605822	6311	31	341
0.359056721463	1420330_at	GSM1338664	6659	11	342
0.357728550803	ILMN_1215209	4936586022_E	4000	1	343
0.351513933692	ILMN_1215209	4936586023_F	4000	1	344
0.349640658518	1420331_at	GSM1338656	6659	11	345
0.348861132773	ILMN_1215209	GSM1199948	6231	1	346
0.348651461862	10547664	GSM754820	6312	31	347
0.347389816214	1420331_at	GSM98882	6658	11	348
0.345909614354	ILMN_1215209	GSM1199954	6231	1	349
0.344451926925	ILMN_1215209	GSM1200035	6231	1	350
0.342790338158	ILMN_1216972	4481850181_B	5019	1	351
0.342428666718	ILMN_1215209	GSM1200008	6231	1	352
0.340998592682	10547664	GSM1026804	6313	31	353
0.339690759619	ILMN_1215209	GSM1200005	6231	1	354
0.338401465954	ILMN_1215209	GSM1199945	6231	1	355
0.335678675415	10547664	GSM754835	6312	31	356
0.335642550348	1420330_at	GSM1139837	6307	11	357
0.334751186104	ILMN_1216972	ES_CELLS	6117	72	358
0.331982290552	ILMN_1215209	GSM1200029	6231	1	359
0.331702767689	ILMN_1215209	HOXb7-2	6275	1	360
0.331659069282	ILMN_1215209	GSM1200020	6231	1	361
0.325778384719	10547664	GSM777068	6311	31	362
0.325593766838	6957083	GSM1181585	6405	74	363
0.322518559349	ILMN_1215209	GSM1200011	6231	1	364
0.319122828345	1420331_at	B2_Mouse430_2	6160	11	365
0.319119146429	ILMN_1215209	GSM1179591	6354	1	366
0.319038093466	ILMN_1216972	12-411	6172	1	367
